地点	薪水
深圳	22500
长沙	9000
武汉	9000
北京	25000
杭州	18000
广州	22500
北京	25000
北京	30000
成都	14000
佛山	9000
上海	30000
北京	31000
泉州	8000
杭州	20000
杭州	25000
武汉	8000
合肥	18000
上海	21500
上海	32500
上海	14000
深圳	15000
杭州	15000
南京	13500
深圳	21500
北京	17500
北京	22500
厦门	11500
西安	12500
深圳	12500
重庆	8000
北京	22500
苏州	20000
北京	12500
广州	15000
广州	37500
上海	18000
深圳	12000
北京	7000
深圳	38000
成都	15000
广州	8500
深圳	15500
杭州	12000
成都	20000
深圳	20000
成都	20000
北京	30000
上海	4500
北京	21500
北京	30000
深圳	11500
武汉	8000
杭州	30000
济南	10000
上海	15000
上海	25000
深圳	14000
深圳	11500
西安	8000
杭州	22500
杭州	30000
深圳	10500
北京	37500
北京	24000
长沙	16000
深圳	12500
武汉	15000
广州	13500
杭州	11500
长沙	10000
上海	15000
北京	19500
北京	27500
上海	37500
杭州	22500
苏州	15000
北京	30000
深圳	24000
上海	30000
北京	30000
上海	22500
北京	20000
杭州	20000
杭州	20000
杭州	22500
上海	50000
青岛	12500
郑州	12500
北京	30000
北京	25000
北京	30000
南京	17500
深圳	30000
北京	15000
杭州	15000
北京	22500
上海	4000
北京	37500
广州	12500
厦门	17000
北京	22500
重庆	9000
上海	16000
长沙	8000
上海	20000
杭州	20000
上海	26500
厦门	22500
北京	27500
北京	30000
北京	32500
杭州	20000
上海	20000
武汉	23000
上海	24000
北京	37500
北京	22500
长沙	12500
杭州	10500
天津	5500
上海	22500
杭州	30000
北京	24000
厦门	22500
上海	27500
武汉	12500
上海	12000
厦门	9000
上海	12000
上海	15000
上海	30000
北京	12500
杭州	4500
广州	15000
上海	32500
上海	11000
郑州	2500
上海	37500
上海	19000
武汉	16500
杭州	14000
南京	15000
杭州	18000
北京	11500
北京	21000
郑州	12500
北京	24000
武汉	22500
上海	20000
杭州	21500
上海	22500
广州	11500
上海	22500
北京	20000
武汉	6000
北京	40000
苏州	12000
北京	30000
北京	32500
杭州	13000
北京	20000
广州	14000
北京	37500
北京	22500
杭州	12500
上海	25000
北京	30000
北京	45000
北京	20000
常州	7500
西安	21500
武汉	15000
上海	17500
成都	12500
北京	65000
北京	40000
北京	30000
杭州	6000
广州	15000
上海	33000
北京	21500
重庆	7500
北京	30000
北京	20000
深圳	30000
杭州	15000
北京	25000
上海	25000
北京	37500
广州	45000
上海	30000
厦门	7500
北京	30000
深圳	14000
深圳	5500
武汉	26500
北京	21500
北京	52500
北京	3500
北京	30000
深圳	22500
北京	15000
广州	11000
上海	22500
广州	12500
上海	20000
上海	11500
广州	20000
北京	15000
北京	20000
北京	27500
深圳	4000
上海	22500
上海	22500
北京	22500
深圳	22500
深圳	15000
北京	30000
北京	30000
北京	20000
北京	25000
北京	9000
上海	15000
北京	32500
重庆	18000
广州	15000
石家庄	3000
北京	37500
成都	10000
上海	20000
北京	26500
广州	8000
北京	15000
成都	12000
杭州	22500
广州	
北京	30000
北京	20000
天津	4500
北京	30000
杭州	27500
苏州	20000
北京	23500
广州	19500
广州	45000
深圳	15000
北京	22500
广州	2500
北京	37500
上海	16500
深圳	11500
北京	3500
上海	14500
杭州	22500
上海	15000
苏州	27500
深圳	15000
北京	24000
北京	15000
广州	11500
广州	15000
上海	30000
北京	37500
成都	20000
北京	4500
北京	27500
武汉	9000
深圳	4500
北京	15000
深圳	30000
上海	20000
深圳	14000
广州	11500
北京	20000
广州	20000
上海	22500
北京	20000
杭州	27500
深圳	12500
深圳	22500
上海	6000
北京	12500
上海	20000
长沙	11500
北京	18000
深圳	26500
广州	16000
上海	22500
深圳	32500
北京	22500
广州	9500
上海	15000
北京	30000
深圳	16000
北京	20000
深圳	18000
上海	20000
北京	15000
北京	37500
深圳	30000
上海	18000
深圳	22500
深圳	4500
北京	20000
沈阳	6000
北京	5000
上海	17500
深圳	10000
北京	25000
北京	1500
北京	4500
北京	20000
北京	27500
上海	27000
上海	22500
上海	21000
上海	22500
上海	22500
深圳	15000
